"Date","Operator","Aircraft","Location","Fatalities","Registration"
2005-03-16,"Regional Airlines - Regionalnye Avialinii","Antonov AN-24","Varandey, Nenets Autonomous Okrug",28,"RA-46489"
1998-03-29,"","Antonov AN-32","Piura, Piura",28,"OB-1389"
1999-01-21,"","Antonov AN-26","Bluefields, Región Autónoma del Atlántico Sur",28,"152"
1998-05-25,"","Harbin Yunsunji Y-12","Erdenet, Orkhon",28,"JU-1017"
2021-07-06,"","Antonov AN-26","Palana, Kamchatka Krai",28,"RA-26085"
2011-10-13,"","De Havilland DHC-8-100 (Dash-8)","Madang, Madang",28,"P2-MCJ"
2002-07-04,"Prestige Airlines","Boeing 707","Bangui, Ombella-M'Poko",28,"9XR-IS"
2000-08-12,"STAER Airlines","Antonov AN-26","Tshikapa, Kasai-Occidental",27,"9Q-CJI"
2012-12-25,"Kazakhstan Border Guards","Antonov AN-72","Shymkent, South Kazakhstan",27,"UP-72859"
1998-02-12,"","Antonov AN-32","Nasir, Upper Nile (أعالي النيل)",27,"7744"
1999-02-02,"","Antonov AN-12","Luanda-4 de Fevereiro, Luanda",27,"EY-ASS"
2005-05-25,"Victoria Air - DRC","Antonov AN-12","Biega, Sud-Kivu",27,"9Q-CVG"
2001-11-19,"IRS Aero","Ilyushin II-18","Kalyazin, Tver oblast",27,"RA-75840"
2019-11-24,"","Dornier DO228","Goma, Nord-Kivu",27,"9S-GNH"
2020-09-25,"","Antonov AN-26","Chuhuiv AFB, Kharkiv oblast",26,"76 yellow"
2002-01-17,"","Fairchild-Hiller FH-227","Mt El Tigre, Nariño",26,"HC-AYM"
1998-05-25,"","Yakovlev Yak-40","Long Tieng, Vientiane Province",26,"RDPL-34001"
2000-07-27,"","De Havilland DHC-6 Twin Otter","Dhangadhi, Seti",25,"9N-ABP"
2011-05-07,"","Xian MA60","Kaimana, Special Region of West Papua",25,"PK-MZK"
2004-11-30,"","McDonnell Douglas MD-82","Surakarta-Adisumarmo, Central Java",25,"PK-LMN"
2000-07-27,"","De Havilland DHC-6 Twin Otter","Dhangadhi, Seti",25,"9N-ABP"
2001-11-24,"","Avro RJ100","Zurich-Kloten, Zurich",24,"HB-IXM"
2001-01-25,"","Douglas DC-3","Ciudad Bolívar, Bolívar",24,"YV-224C"
2009-04-06,"","Fokker F27 Friendship","Bandung-Husein Sastranegara, West Java",24,"A-2703"
1997-09-13,"","Tupolev TU-154","Atlantic Ocean, World",24,"11+02"
1995-09-22,"","Boeing E-3 Sentry","Elmendorf-Richardson AFB (JBER), Alaska",24,"77-0354"
1998-09-02,"PermTransAvia","Antonov AN-26","Malanje, Malanje",24,"RA-26028"
2000-04-19,"","Antonov AN-8","Pepa, Katanga",24,"TL-ACM"
1999-11-12,"","ATR42-300","Kosovska Mitrovica, All Kosovo",24,"F-OHFV"
2009-02-07,"","Embraer EMB-110 Bandeirante","Manacapuru, Amazonas",24,"PT-SEA"
2016-02-24,"","De Havilland DHC-6 Twin Otter","Dana, Dhawalagiri",23,"9N-AHH"
2016-02-24,"","De Havilland DHC-6 Twin Otter","Dana, Dhawalagiri",23,"9N-AHH"
1997-06-06,"Bazair","Vickers Viscount","Irumu, Orientale",23,"9Q-CWL"
2011-03-21,"","Antonov AN-12","Pointe-Noire, Pointe-Noire City District",23,"TN-AGK"
2002-08-30,"","Embraer EMB-120 Brasília","Rio Branco-Presidente Médici, Acre",23,"PT-WRQ"
1996-11-27,"","Ilyushin II-76","Abakan, Republic of Khakassia",23,"CCCP-78804"
2005-12-23,"","Antonov AN-140","Nardaran, Absheron",23,"4K-AZ48"
1995-09-09,"","Casa 212 Aviocar","La Macarena, Meta",22,"FAC-1152"
2001-02-01,"","Antonov AN-26","Luena, Moxico",22,"T-224"
1999-12-25,"","Yakovlev Yak-42","Valencia, Carabobo",22,"CU-T1285"
2000-01-13,"","Short 360","Marsa el Brega, Al Wahat (الواحات)",22,"HB-AAM"
2011-05-18,"","Saab 340","Prahuaniyeu, Río Negro",22,"LV-CEJ"
1997-09-12,"","De Havilland DHC-6 Twin Otter","Mt Minembwe, Sud-Kivu",22,"9Q-CRY"
1996-12-24,"","Hindustan Aeronautics HAL-748","Dubagunta, Andhra Pradesh",22,"H1032"
2022-05-29,"","De Havilland DHC-6 Twin Otter","Sanosware, Dhawalagiri",22,"9N-AET"
1996-02-04,"","Douglas DC-8","Asunción-Silvio Pettirossi, Central",22,"HK-3979X"
2016-03-15,"","IAI Arava 201","Fátima, Pastaza",22,"E-206"
